CustomerID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,CustomerRowGUID,CustomerModifiedDate,StoreName,SalesPersonID
11000,IN,false,,Jon,V,Yang,,1,{66416A79-00C0-4DEE-BC3E-662A3D8F6424},2011-06-21T00:00:00.000Z,,
11001,IN,false,,Eugene,L,Huang,,0,{82482F35-0F48-44E1-8A73-C11518B5A979},2011-06-17T00:00:00.000Z,,
11002,IN,false,,Ruben,,Torres,,2,{CEB6B318-5D42-4E4F-9646-AA406758000E},2011-06-09T00:00:00.000Z,,
11003,IN,false,,Christy,,Zhu,,0,{334C9EE5-03D3-4774-A886-5EC7BA93F034},2011-05-31T00:00:00.000Z,,
11004,IN,false,,Elizabeth,,Johnson,,1,{8609C9C5-F804-4DE8-BB5B-9344971BD670},2011-06-25T00:00:00.000Z,,
11005,IN,false,,Julio,,Ruiz,,0,{576C0D8A-B9AB-4B93-914B-021E90D12225},2011-06-01T00:00:00.000Z,,
11006,IN,false,,Janet,G,Alvarez,,0,{A1A49DC4-0112-4B81-A6FC-D1D6C1A1373C},2011-06-26T00:00:00.000Z,,
11007,IN,false,,Marco,,Mehta,,0,{02CA6ECE-F245-40FE-BDBB-A9E441BA2A0C},2011-06-11T00:00:00.000Z,,
11008,IN,false,,Rob,,Verhoff,,0,{918D0BE5-4196-4C74-9AF8-C6E0C709F73B},2011-06-27T00:00:00.000Z,,
11009,IN,false,,Shannon,C,Carlson,,1,{468FD07B-E8DE-42EF-9409-DFE798ABF678},2011-06-29T00:00:00.000Z,,
11010,IN,false,,Jacquelyn,C,Suarez,,0,{F21684F9-0E09-4544-B85C-68A991000A6E},2011-06-16T00:00:00.000Z,,
11011,IN,false,,Curtis,,Lu,,0,{D2CE031F-0E7E-468E-AB60-D7D3626FCEA9},2011-06-01T00:00:00.000Z,,
11012,IN,false,,Lauren,M,Walker,,2,{547821CE-7D3F-4F20-BF62-0627A0AC540B},2013-08-16T00:00:00.000Z,,
11013,IN,false,,Ian,M,Jenkins,,1,{368BFB29-5BC3-4815-A9C8-4D9764149BEB},2013-09-13T00:00:00.000Z,,
11014,IN,false,,Sydney,,Bennett,,0,{60F005B6-9A4A-4E69-ACDE-69B6284F5F8D},2013-08-23T00:00:00.000Z,,
11015,IN,false,,Chloe,,Young,,1,{05CCB1E1-C70C-4029-ABA0-AE4274AA3779},2013-06-20T00:00:00.000Z,,
11016,IN,false,,Wyatt,L,Hill,,1,{56099CA5-49BD-4C9C-9C5C-E22B59CE97A5},2013-07-12T00:00:00.000Z,,
11017,IN,false,,Shannon,,Wang,,2,{AEEE6C5D-BF00-427B-89C3-7A303C4A91CA},2011-06-14T00:00:00.000Z,,
11018,IN,false,,Clarence,D,Rai,,0,{812AF872-7CA2-497B-AD11-F645A9D25A4A},2011-06-19T00:00:00.000Z,,
11019,IN,false,,Luke,L,Lal,,0,{0981BFBC-80AB-4856-A980-4183FBE0FC72},2013-07-15T00:00:00.000Z,,
11020,IN,false,,Jordan,C,King,,0,{D39A8C70-8AE5-4361-ACDB-2E6175ED36AE},2013-05-31T00:00:00.000Z,,
11021,IN,false,,Destiny,,Wilson,,0,{112A2D6F-F350-4092-809B-1BE85F82A1AD},2013-06-25T00:00:00.000Z,,
11022,IN,false,,Ethan,G,Zhang,,1,{4CADF2ED-64B2-4800-9D13-D491A32E303C},2013-06-22T00:00:00.000Z,,
11023,IN,false,,Seth,M,Edwards,,1,{A6BFE110-EE71-4ECA-AF19-B433D05A8D35},2013-07-20T00:00:00.000Z,,
11024,IN,false,,Russell,,Xie,,2,{94F176C0-1B12-441B-B8E1-DDBF98AA5628},2013-11-27T00:00:00.000Z,,
11025,IN,false,,Alejandro,,Beck,,0,{630FAE05-78EC-4E6D-BF93-6A53BE00002A},2011-06-08T00:00:00.000Z,,
11026,IN,false,,Harold,,Sai,,0,{01D06EC1-1FCB-4971-95D8-29895E1BAA24},2011-06-25T00:00:00.000Z,,
11027,IN,false,,Jessie,R,Zhao,,1,{E8685EDE-162F-449C-90C1-7EF6AF365072},2011-06-18T00:00:00.000Z,,
11028,IN,false,,Jill,,Jimenez,,1,{3875A0CD-9C77-463F-889F-ACCF3B0B5F5A},2011-06-28T00:00:00.000Z,,
11029,IN,false,,Jimmy,L,Moreno,,0,{23A873CA-91E2-419F-A362-1A3E9C0C9751},2011-06-21T00:00:00.000Z,,
11030,IN,false,,Bethany,G,Yuan,,0,{50F0F972-427A-4E6A-988A-F774841A5C8B},2011-07-08T00:00:00.000Z,,
11031,IN,false,,Theresa,G,Ramos,,0,{023E8262-2AA0-4896-B574-4BA64FCD5E36},2011-07-04T00:00:00.000Z,,
11032,IN,false,,Denise,,Stone,,1,{DC068882-48A8-4A0C-A78B-3123C9DA667A},2011-07-21T00:00:00.000Z,,
11033,IN,false,,Jaime,,Nath,,2,{C469D05E-DEF2-4E1B-8193-AB0D0003D2E2},2011-07-18T00:00:00.000Z,,
11034,IN,false,,Ebony,,Gonzalez,,0,{892B04B7-535E-447E-9F6E-C20F45494F4D},2011-07-04T00:00:00.000Z,,
11035,IN,false,,Wendy,,Dominguez,,2,{2A3E8B91-4528-4D4F-BA85-29ABF4097489},2011-07-09T00:00:00.000Z,,
11036,IN,false,,Jennifer,C,Russell,,2,{CAE79CD1-22B3-4BF7-BAC8-56AA0BEBA8BF},2013-06-24T00:00:00.000Z,,
11037,IN,false,,Chloe,M,Garcia,,0,{A17212AD-063D-4CB8-9ED9-348C2FF5917B},2013-06-22T00:00:00.000Z,,
11038,IN,false,,Diana,F,Hernandez,,0,{8274FF0D-D61E-4BD2-BAB2-3AB317D4FF8D},2011-07-10T00:00:00.000Z,,
11039,IN,false,,Marc,J,Martin,,0,{6F34B866-5543-4FB9-9B60-04959BA3AD0A},2011-07-10T00:00:00.000Z,,
11040,IN,false,,Jesse,,Murphy,,1,{B6FD7B9F-A684-4560-A333-3C35BD322973},2013-09-03T00:00:00.000Z,,
11041,IN,false,,Amanda,M,Carter,,0,{D2153527-FA07-4123-870D-B1B0B3205F05},2013-06-16T00:00:00.000Z,,
11042,IN,false,,Megan,J,Sanchez,,0,{C03E1DFB-85B6-4DD9-A051-9C112BE45778},2013-06-23T00:00:00.000Z,,
11043,IN,false,,Nathan,M,Simmons,,1,{456334C0-31BF-4975-A277-152EC5EE6D19},2013-10-08T00:00:00.000Z,,
11044,IN,false,,Adam,L,Flores,,0,{C7B01557-F998-4E02-80B6-5403A39B038B},2011-07-31T00:00:00.000Z,,
11045,IN,false,,Leonard,G,Nara,,0,{713CAD06-D121-4C9E-ADA5-E5859166AAB7},2013-09-10T00:00:00.000Z,,
11046,IN,false,,Christine,,Yuan,,2,{7A565631-91D1-4B64-A4D6-AAA67E303EE4},2011-07-09T00:00:00.000Z,,
11047,IN,false,,Jaclyn,D,Lu,,2,{EEB92548-94DC-4D83-959C-684ACEF323C3},2011-07-06T00:00:00.000Z,,
